link_name,link_url,episode_name,episode_link,,,,,,,,
קפטן פנטסטיק,https://www.youtube.com/watch?v=piSLoMPjvzg,פרק #90 – ליאור רז עושה פאודה,https://geekonomy.net/2016/12/20/geekonomy90/,,,,,,,,
אטלנטה,http://www.imdb.com/title/tt4288182/,פרק #90 – ליאור רז עושה פאודה,https://geekonomy.net/2016/12/20/geekonomy90/,,,,,,,,
שוגון,https://he.wikipedia.org/wiki/%D7%A9%D7%95%D7%92%D7%95%D7%9F_(%D7%A1%D7%A4%D7%A8),פרק #90 – ליאור רז עושה פאודה,https://geekonomy.net/2016/12/20/geekonomy90/,,,,,,,,
לא פה לא שם,http://www.edb.co.il/title/t0013992/,פרק #90 – ליאור רז עושה פאודה,https://geekonomy.net/2016/12/20/geekonomy90/,,,,,,,,
העמוד של לאה בפייסבוק,https://www.facebook.com/leahlev1/?fref=ts,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
לאה לב על גיימינג,https://www.youtube.com/watch?v=9U8ChvmXROc,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
רועי צברי,https://www.youtube.com/watch?v=BMnODl7IrbU,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
עמית חשאי,https://www.youtube.com/watch?v=TkPlquBgeHU,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
רועי לוי,https://www.youtube.com/watch?v=DFlIIpb5GB8,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
Storm,https://www.youtube.com/watch?v=tv3YNf0vn-Y,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
אלייזה שלזינגר,https://www.youtube.com/watch?v=4wzpYDnqhiI,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
שרה סילברמן,https://www.youtube.com/watch?v=b3RYrQSir7k,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
ג'ואן ריברס,https://www.youtube.com/watch?v=srtES-HebG0,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
רוזאן בר,https://www.youtube.com/watch?v=M89pTcWq73A,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
אריק אנדרה,https://www.youtube.com/watch?v=7hcn5eV8NDI,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
דניאל חן,https://www.youtube.com/watch?v=K-E3kConLUA,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
שיקגו – המחזמר,https://he.wikipedia.org/wiki/%D7%A9%D7%99%D7%A7%D7%92%D7%95_(%D7%9E%D7%97%D7%96%D7%9E%D7%A8),פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
Book of Mormon,https://en.wikipedia.org/wiki/The_Book_of_Mormon_(musical),פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
שבע כלות שבעה אחים,https://www.youtube.com/watch?v=CfFFFfRwsR0,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
איל גולן,https://he.wikipedia.org/wiki/%D7%90%D7%99%D7%99%D7%9C_%D7%92%D7%95%D7%9C%D7%9F,פרק #91 – לאה לב סטנדאפיסטית ישראלית,https://geekonomy.net/2016/12/27/geekonomy91/,,,,,,,,
